BaseTypeID|BaseTypeName|subTypeID|subTypeName|isWeapon|levelReq|classReq|attackRate|cannotDrop|ImplicitNames|ImplicitsMin|ImplicitsMax
0|Helmets|0|Mercenary Helmet|False|0|None|1|True|ADDED,None,Armour|14|14
0|Helmets|1|Leather Helmet|False|7|None|1|True|ADDED,None,Armour;ADDED,None,Mana;INCREASED,Spell,Damage|5;10;0.05|5;35;0.25
0|Helmets|2|Iron Helmet|False|10|None|1|True|ADDED,None,Armour|40|40
0|Helmets|3|Fur Helmet|False|20|None|1|True|ADDED,None,Armour;INCREASED,None,HealthRegen|35;0.05|35;0.15
0|Helmets|4|Dome Helmet|False|24|None|1|True|ADDED,None,Armour|50|50
0|Helmets|5|Bronze Helmet|False|39|None|1|True|ADDED,None,Armour|75|75
0|Helmets|6|Secutor Helmet|False|65|None|1|True|ADDED,None,Armour|130|130
0|Helmets|7|Fur Helmet|False|35|None|1|True|ADDED,None,Armour|50|50
0|Helmets|8|Outcast Cage|False|0|Acolyte|1|False|ADDED,None,Armour|7|7
0|Helmets|9|Bone Mask|False|5|Acolyte|1|False|ADDED,None,Armour;ADDED,None,PoisonResistance|13;0.05|13;0.19
0|Helmets|10|Skull Cage|False|17|Acolyte|1|False|ADDED,None,Armour;INCREASED,Spell,Damage|9;0.13|9;0.3
0|Helmets|11|Death Mask|False|29|Acolyte|1|False|ADDED,None,Armour|91|91
0|Helmets|12|Heretic Cowl|False|46|Acolyte|1|False|ADDED,None,Armour;INCREASED,None,CriticalChance;INCREASED,Minion,CriticalChance|61;0.16;0.16|61;0.31;0.31
0|Helmets|13|Burial Mask|False|57|Acolyte|1|False|ADDED,None,Armour;ADDED,None,WardRetention|113;0.13|113;0.51
0|Helmets|14|Profane Helm|False|66|Acolyte|1|False|ADDED,None,Armour;ADDED,None,IncreasedAreaForAreaSkills;ADDED,Minion,IncreasedAreaForAreaSkills|89;0.09;0.09|89;0.23;0.23
0|Helmets|15|Revenant Mask|False|70|Acolyte|1|False|ADDED,None,Armour;ADDED,Spell, Minion,Damage|103;10|103;15
0|Helmets|16|Copper Circlet|False|0|Mage|1|False|ADDED,None,Armour|8|8
0|Helmets|17|Adept Helm|False|4|Mage|1|False|ADDED,None,Armour|20|20
0|Helmets|18|Weathered Crown|False|14|Mage|1|False|ADDED,None,Armour;ADDED,None,Mana|14;14|14;40
0|Helmets|19|Lunar Helm|False|29|Mage|1|False|ADDED,None,Armour;ADDED,None,WardRegen|48;4|48;8
0|Helmets|20|Gilded Crown|False|42|Mage|1|False|ADDED,None,Armour;INCREASED,Elemental,Damage|36;0.18|36;0.42
0|Helmets|21|Mystic Helm|False|52|Mage|1|False|ADDED,None,Armour;ADDED,None,CritAvoidance|124;0.2|124;0.4
0|Helmets|22|Runed Visage|False|60|Mage|1|False|ADDED,None,Armour;ADDED,None,ManaSpentGainedAsWard;INCREASED,None,ManaRegen|70;0.27;0.12|70;0.7;0.27
0|Helmets|23|Celestial Helm|False|72|Mage|1|False|ADDED,None,Armour;INCREASED,None,CriticalChance|106;0.4|106;0.72
0|Helmets|24|Oak Helm|False|0|Primalist|1|False|ADDED,None,Armour|12|12
0|Helmets|25|Wolf Pelt|False|12|Primalist|1|False|ADDED,None,Armour;ADDED,None,Strength|16;1|16;3
0|Helmets|26|Forest Cowl|False|22|Primalist|1|False|ADDED,None,Armour;ADDED,None,PoisonResistance|32;0.1|32;0.22
0|Helmets|27|Kolheim Cowl|False|30|Primalist|1|False|ADDED,None,Armour;ADDED,None,FireResistance|72;0.12|72;0.3
0|Helmets|28|Horned Cowl|False|44|Primalist|1|False|ADDED,None,Armour;INCREASED,None,HealthRegen;INCREASED,None,ManaRegen|54;0.1;0.1|54;0.2;0.2
0|Helmets|29|Icewolf Pelt|False|58|Primalist|1|False|ADDED,None,Armour;ADDED,None,ColdResistance;ADDED,None,FreezeRateMultiplier|84;0.32;1.04|84;0.44;2.08
0|Helmets|30|Darkwolf Pelt|False|58|Primalist|1|False|ADDED,None,Armour;INCREASED,Physical,Damage;INCREASED,Physical, Minion,Damage|84;0.32;0.32|84;0.64;0.64
0|Helmets|31|Greatwood Visage|False|64|Primalist|1|False|ADDED,None,Armour;ADDED,None,Mana;INCREASED,None,ManaRegen|142;24;0.14|142;64;0.32
0|Helmets|32|Battered Helm|False|0|Sentinel|1|False|ADDED,None,Armour|30|30
0|Helmets|33|Infantry Helm|False|4|Sentinel|1|False|ADDED,None,Armour|40|40
0|Helmets|34|Iron Visor|False|13|Sentinel|1|False|ADDED,None,Armour;ADDED,None,IncreasedStunChance|45;0.1|45;0.25
0|Helmets|35|Full Helm|False|28|Sentinel|1|False|ADDED,None,Armour|95|95
0|Helmets|36|Winged Helm|False|42|Sentinel|1|False|ADDED,None,Armour;INCREASED,None,Movespeed|110;0.05|110;0.08
0|Helmets|37|Myrmidon Helm|False|60|Sentinel|1|False|ADDED,None,Armour;ADDED,None,CriticalMultiplier|150;0.1|150;0.25
0|Helmets|38|Augury Helm|False|68|Sentinel|1|False|ADDED,None,Armour;ADDED,None,IncreasedCooldownRecoverySpeed;ADDED,None,VoidResistance|225;0.05;0.1|225;0.1;0.25
0|Helmets|39|Dawn Helm|False|75|Sentinel|1|False|ADDED,None,Armour|400|400
0|Helmets|40|Arcane Visage|False|77|Mage|1|False|ADDED,None,Armour;ADDED,None,IncreasedCooldownRecoverySpeed;INCREASED,None,Mana|117;0.07;0.07|117;0.14;0.14
0|Helmets|41|Ancestral Crown|False|76|Primalist|1|False|ADDED,None,Armour;INCREASED,None,Health;ADDED,None,HealthLeech|124;0.06;0.2|124;0.12;0.3
0|Helmets|42|Cloth Hood|False|0|Rogue|1|False|ADDED,None,Armour|14|14
0|Helmets|43|Bandit Helm|False|5|Rogue|1|False|ADDED,None,Armour|32|32
